BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMH17H_TC-2A.xlsx,,,,,,,
#,R: ,2.976,,W: ,Force,,E: ,1,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,0.559532174,1.007157913,1.566690087,2.014315826,2.238128695,-0.02674347,0.211693077,0.329300342,0.423386154,0.47042906,-0.089144901,-0.178289801
#,0.156732056,0.2821177,0.438849756,0.564235401,0.626928223,-0.045144711,0.203546664,0.316628144,0.407093328,0.45232592,-0.15048237,-0.300964741
#,0.25,0.45,0.7,0.9,1,0.3,0.45,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,5906.172946,10631.1113,16537.28425,21262.22261,23624.69178,-0.005593261,0,0,0,0,-0.018644203,-0.037288407
1,5695.422831,10251.7611,15947.18393,20503.52219,22781.69132,-8.349914028,123.5600782,192.2045661,247.1201564,274.5779516,-27.83304676,-55.66609352
2,5536.415159,9965.547287,15501.96245,19931.09457,22145.66064,-24.47400573,351.6301794,546.9802791,703.2603588,781.4003987,-81.58001912,-163.1600382
3,5375.401743,9675.723138,15051.12488,19351.44628,21501.60697,-39.86356869,555.9587956,864.8247932,1111.917591,1235.46399,-132.8785623,-265.7571246
4,5219.543931,9395.179075,14614.72301,18790.35815,20878.17572,-54.54024501,738.5602867,1148.871557,1477.120573,1641.245082,-181.8008167,-363.6016334
5,5069.446104,9125.002987,14194.44909,18250.00597,20277.78442,-68.52544467,901.3249014,1402.060958,1802.649803,2002.944225,-228.4181489,-456.8362978
6,4925.494512,8865.890122,13791.38463,17731.78024,19701.97805,-81.84034551,1046.023696,1627.147972,2092.047392,2324.497102,-272.8011517,-545.6023034
7,4786.577087,8615.838756,13402.41584,17231.67751,19146.30835,-94.50589325,1174.313358,1826.709668,2348.626717,2609.585241,-315.0196442,-630.0392883
8,4653.139075,8375.650336,13028.78941,16751.30067,18612.5563,-106.5428015,1287.740936,2003.152566,2575.481871,2861.646523,-355.1426716,-710.2853432
9,4524.982778,8144.969001,12669.95178,16289.938,18099.93111,-117.9715516,1387.748469,2158.719841,2775.496939,3083.885487,-393.2385054,-786.4770109
10,4401.90192,7923.423456,12325.32538,15846.84691,17607.60768,-128.812393,1475.677534,2295.498386,2951.355067,3279.283408,-429.3746435,-858.7492869
11,4283.686301,7710.635341,11994.32164,15421.27068,17134.7452,-139.0853429,1552.77368,2415.425724,3105.54736,3450.608178,-463.6178096,-927.2356193
12,4170.124225,7506.223606,11676.34783,15012.44721,16680.4969,-148.8101862,1620.190785,2520.296777,3240.381571,3600.423968,-496.0339541,-992.0679083
13,4061.003946,7309.807103,11370.81105,14619.61421,16244.01578,-158.006476,1678.995308,2611.770479,3357.990616,3731.100685,-526.6882534,-1053.376507
14,4008.484162,7215.271491,11223.75565,14430.54298,16033.93665,-162.4124601,1705.478241,2652.966152,3410.956481,3789.951646,-541.3748671,-1082.749734
15,3905.680641,7030.225153,10935.90579,14060.45031,15622.72256,-170.8520735,1753.18248,2727.172747,3506.36496,3895.961067,-569.5069116,-1139.013823
16,3806.789635,6852.221343,10659.01098,13704.44269,15227.15854,-178.811,1794.584884,2791.576486,3589.169768,3987.966409,-596.0366666,-1192.073333
17,3711.60601,6680.890818,10392.49683,13361.78164,14846.42404,-186.3079801,1830.478075,2847.410339,3660.95615,4067.729055,-621.0266004,-1242.053201
18,3619.927529,6515.869552,10135.79708,13031.7391,14479.71012,-193.3615222,1861.585226,2895.79924,3723.170452,4136.856057,-644.5384074,-1289.076815
19,3531.555255,6356.799459,9888.354713,12713.59892,14126.22102,-199.9899025,1888.563794,2937.765901,3777.127587,4196.808431,-666.6330082,-1333.266016
20,3446.293923,6203.329062,9649.622985,12406.65812,13785.17569,-206.211165,1912.009156,2974.236464,3824.018311,4248.909235,-687.3705498,-1374.7411
21,3363.952281,6055.114107,9419.066388,12110.22821,13455.80913,-212.0431216,1932.458152,3006.046015,3864.916305,4294.351449,-706.8104053,-1413.620811
22,3284.343406,5911.818131,9196.161537,11823.63626,13137.37362,-217.5033522,1950.392536,3033.943944,3900.785071,4334.205634,-725.011174,-1450.022348
23,3207.284996,5773.112993,8980.397988,11546.22599,12829.13998,-222.6092045,1966.242321,3058.599167,3932.484643,4369.427381,-742.0306816,-1484.061363
24,3132.599648,5638.679367,8771.279015,11277.35873,12530.39859,-227.3777939,1980.389048,3080.605185,3960.778096,4400.864551,-757.9259797,-1515.851959
25,3060.115114,5508.207205,8568.322318,11016.41441,12240.46045,-231.826004,1993.168938,3100.485015,3986.337876,4429.264307,-772.7533465,-1545.506693
26,2989.664535,5381.396163,8371.060697,10762.79233,11958.65814,-235.9704859,2004.875969,3118.695952,4009.751938,4455.279931,-786.5682863,-1573.136573
27,2921.086667,5257.956001,8179.042668,10515.912,11684.34667,-239.8276588,2015.764844,3135.634202,4031.529688,4479.477431,-799.4255295,-1598.851059
28,2886.635905,5195.94463,8082.580535,10391.88926,11546.54362,-241.653572,2020.972039,3143.734283,4041.944078,4491.048976,-805.5119066,-1611.023813
29,2820.557949,5077.004308,7897.562257,10154.00862,11282.2318,-245.1100596,2031.032399,3159.383732,4062.064798,4513.405331,-817.033532,-1634.067064
30,2755.974188,4960.753538,7716.727725,9921.507076,11023.89675,-248.3192705,2040.758198,3174.512752,4081.516395,4535.018217,-827.7309017,-1655.461803
31,2694.479538,4850.063168,7544.542706,9700.126336,10777.91815,-251.2968115,2050.288727,3189.338019,4100.577453,4556.19717,-837.6560382,-1675.312076
32,2632.517029,4738.530653,7371.047682,9477.061306,10530.06812,-254.058057,2059.736211,3204.034106,4119.472422,4577.19158,-846.8601899,-1693.72038
33,2571.651392,4628.972506,7200.623898,9257.945011,10286.60557,-256.6181495,2069.18826,3218.737293,4138.376519,4598.196132,-855.3938316,-1710.787663
34,2511.762591,4521.172663,7032.935253,9042.345326,10047.05036,-258.9919993,2078.710221,3233.549233,4157.420443,4619.356047,-863.3066643,-1726.613329
35,2452.737377,4414.927279,6867.664657,8829.854559,9810.94951,-261.1942845,2088.347448,3248.540474,4176.694896,4640.772106,-870.647615,-1741.29523
36,2394.469397,4310.044914,6704.514311,8620.089828,9577.877587,-263.2394512,2098.127459,3263.753826,4196.254919,4662.505465,-877.4648374,-1754.929675
37,2336.859276,4206.346696,6543.205972,8412.693392,9347.437103,-265.1417133,2108.062017,3279.207583,4216.124035,4684.582261,-883.805711,-1767.611422
38,2279.814707,4103.666472,6383.481178,8207.332944,9119.258826,-266.9150525,2118.149101,3294.898602,4236.298202,4706.998003,-889.7168417,-1779.433683
39,2225.393712,4005.708681,6231.102393,8011.417363,8901.574848,-268.5732185,2128.37479,3310.805229,4256.74958,4729.721755,-895.2440617,-1790.488123
40,2169.324301,3904.783743,6074.108044,7809.567485,8677.297206,-270.1297288,2138.71505,3326.890078,4277.4301,4752.700111,-900.4324292,-1800.864858
41,2140.298617,3852.53751,5992.836126,7705.075019,8561.194466,-270.8740238,2143.918287,3334.984002,4287.836574,4764.26286,-902.9134125,-1805.826825
42,2086.971657,3756.548982,5843.520639,7513.097965,8347.886628,-272.302888,2154.367361,3351.238117,4308.734722,4787.483025,-907.6762932,-1815.352586
43,2031.689527,3657.041149,5688.730677,7314.082299,8126.75811,-273.6628746,2164.837552,3367.525081,4329.675105,4810.750116,-912.2095821,-1824.419164
44,1976.608073,3557.894531,5534.502604,7115.789062,7906.432292,-274.9666888,2175.282137,3383.772212,4350.564273,4833.960303,-916.5556293,-1833.111259
45,1921.682429,3459.028372,5380.710801,6918.056745,7686.729716,-276.2268034,2185.651146,3399.901782,4371.302292,4857.002546,-920.7560113,-1841.512023
46,1866.874946,3360.374903,5227.249849,6720.749805,7467.499784,-277.4554591,2195.892633,3415.832985,4391.785266,4879.761407,-924.8515305,-1849.703061
47,1814.871582,3266.768848,5081.64043,6533.537696,7259.486329,-278.6646648,2205.953842,3431.483755,4411.907685,4902.11965,-928.8822159,-1857.764432
48,1760.354892,3168.638806,4928.993698,6337.277611,7041.419568,-279.8661967,2215.782285,3446.772443,4431.564569,4923.960633,-932.8873224,-1865.774645
49,1705.894945,3070.610901,4776.505847,6141.221803,6823.579781,-281.0715994,2225.326719,3461.61934,4450.653437,4945.170486,-936.9053314,-1873.810663
50,1654.393923,2977.909061,4632.302983,5955.818121,6617.575691,-282.2921851,2234.538036,3475.948056,4469.076073,4965.640081,-940.9739504,-1881.947901
51,1600.17406,2880.313309,4480.487369,5760.626617,6400.696241,-283.5390339,2243.370054,3489.68675,4486.740108,4985.266786,-945.1301131,-1890.260226
52,1546.01045,2782.81881,4328.829261,5565.637621,6184.041801,-284.8229938,2251.780208,3502.769212,4503.560416,5003.956017,-949.4099794,-1898.819959
53,1495.021789,2691.039219,4186.061008,5382.078439,5980.087154,-286.1546807,2259.730156,3515.135799,4519.460313,5021.62257,-953.8489356,-1907.697871
54,1441.160952,2594.089713,4035.250665,5188.179427,5764.643808,-287.5444782,2267.186285,3526.734221,4534.37257,5038.191744,-958.4815942,-1916.963188
55,1415.839429,2548.510972,3964.3504,5097.021943,5663.357715,-288.26435,2270.720058,3532.231201,4541.440116,5046.044574,-960.8811666,-1921.762333
56,1362.231216,2452.016189,3814.247404,4904.032377,5448.924864,-289.7602753,2277.383761,3542.596961,4554.767521,5060.852801,-965.8675842,-1931.735168
57,1312.014189,2361.62554,3673.639729,4723.25108,5248.056756,-291.339255,2283.492757,3552.099844,4566.985513,5074.428348,-971.1308499,-1942.2617
58,1258.906145,2266.031061,3524.937206,4532.062122,5035.62458,-293.0108604,2289.032595,3560.71737,4578.06519,5086.739101,-976.7028679,-1953.405736
59,1206.037322,2170.867179,3376.904501,4341.734358,4824.149287,-294.7844306,2293.994657,3568.436133,4587.989314,5097.765905,-982.6147686,-1965.229537
60,1156.837749,2082.307949,3239.145698,4164.615898,4627.350997,-296.6690726,2298.376139,3575.251771,4596.752277,5107.50253,-988.8969088,-1977.793818
61,1104.728587,1988.511456,3093.240043,3977.022912,4418.914347,-298.6736614,2302.179941,3581.168797,4604.359882,5115.955425,-995.5788713,-1991.157743
62,1056.378026,1901.480447,2957.858473,3802.960894,4225.512104,-300.8068396,2305.414466,3586.200281,4610.828933,5123.143259,-1002.689465,-2005.378931
63,1005.233572,1809.420429,2814.654,3618.840858,4020.934286,-303.0770178,2308.093315,3590.36738,4616.186631,5129.096257,-1010.256726,-2020.513452
64,957.9259347,1724.266683,2682.192617,3448.533365,3831.703739,-305.4923746,2310.234894,3593.698723,4620.469787,5133.855319,-1018.307915,-2036.615831
65,911.1375971,1640.047675,2551.185272,3280.09535,3644.550388,-308.0608562,2311.86192,3596.229654,4623.723841,5137.470934,-1026.869521,-2053.739041
66,861.9146306,1551.446335,2413.360966,3102.89267,3447.658523,-310.7901769,2313.000845,3598.001314,4626.001689,5140.001877,-1035.967256,-2071.934513
67,816.4802367,1469.664426,2286.144663,2939.328852,3265.920947,-313.6878188,2313.681165,3599.05959,4627.36233,5141.5137,-1045.626063,-2091.252125
68,794.0129938,1429.223389,2223.236383,2858.446778,3176.051975,-315.2020348,2313.859212,3599.336551,4627.718423,5141.909359,-1050.673449,-2101.346899
69,746.7723362,1344.190205,2090.962541,2688.38041,2987.089345,-318.3656796,2313.911675,3599.418161,4627.82335,5142.025945,-1061.218932,-2122.437864
