BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,
#,B: ,JNR_DC80_Formation.xlsx,,,,,,,,,,
#,W: ,Force,,,F: ,4M2m,,,,,,
#,1,2,3,4,5,6,7,8,9,10,16,17
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
0,8642.937896,15557.28821,24200.22611,31114.57643,34571.75159,-0.008185031,0,0,0,0,-0.027283436,-0.054566872
1,8334.53173,15002.15711,23336.68884,30004.31423,33338.12692,-12.21904422,180.8145634,281.2670986,361.6291267,401.8101408,-40.73014739,-81.46029478
2,8101.844092,14583.31937,22685.16346,29166.63873,32407.37637,-35.81461525,514.5663412,800.4365307,1029.132682,1143.480758,-119.3820508,-238.7641016
3,7866.221301,14159.19834,22025.41964,28318.39668,31464.8852,-58.33529626,813.5754553,1265.561819,1627.150911,1807.945456,-194.4509875,-388.901975
4,7751.952484,13953.51447,21705.46696,27907.02894,31007.80994,-69.2024633,950.9798684,1479.302018,1901.959737,2113.288596,-230.6748777,-461.3497553
5,7527.854185,13550.13753,21077.99172,27100.27507,30111.41674,-90.1700853,1203.345,1871.87,2406.69,2674.099999,-300.566951,-601.133902
6,7312.250781,13162.05141,20474.30219,26324.10281,29249.00313,-110.1413566,1427.998586,2221.331134,2855.997172,3173.330191,-367.1378553,-734.2757105
7,7207.838911,12974.11004,20181.94895,25948.22008,28831.35565,-119.7630056,1530.72352,2381.125476,3061.447041,3401.607823,-399.2100187,-798.4200374
8,7004.55081,12608.19146,19612.74227,25216.38292,28018.20324,-138.2974345,1718.459232,2673.158806,3436.918465,3818.798294,-460.9914484,-921.9828968
9,6809.28114,12256.70605,19065.98719,24513.41211,27237.12456,-155.9119289,1884.446161,2931.360695,3768.892322,4187.658135,-519.7064297,-1039.412859
10,6714.700023,12086.46004,18801.16006,24172.92008,26858.80009,-164.3835802,1959.949103,3048.809715,3919.898205,4355.44245,-547.9452673,-1095.890535
11,6531.036073,11755.86493,18286.90101,23511.72986,26124.14429,-180.6742642,2097.223366,3262.347458,4194.446732,4660.496369,-602.2475473,-1204.495095
12,6354.633522,11438.34034,17792.97386,22876.68068,25418.53409,-196.1193068,2217.750833,3449.834629,4435.501666,4928.335184,-653.7310227,-1307.462045
13,6268.633683,11283.54063,17552.17431,22567.08126,25074.53473,-203.5338267,2272.288097,3534.670373,4544.576194,5049.529104,-678.446089,-1356.892178
14,6102.449933,10984.40988,17086.85981,21968.81976,24409.79973,-217.7649063,2370.944513,3688.135909,4741.889026,5268.765584,-725.8830209,-1451.766042
15,5942.766191,10696.97914,16639.74534,21393.95829,23771.06477,-231.2225145,2456.997502,3821.996115,4913.995004,5459.994449,-770.7417149,-1541.48343
16,5789.273931,10420.69307,16209.96701,20841.38615,23157.09572,-243.9349248,2531.88585,3938.489101,5063.771701,5626.413001,-813.116416,-1626.232832
17,5715.470158,10287.84628,16003.31644,20575.69257,22861.88063,-250.0204234,2565.561055,3990.872753,5131.122111,5701.24679,-833.4014113,-1666.802823
18,5570.755665,10027.3602,15598.11586,20054.72039,22283.02266,-261.6673068,2626.148243,4085.119488,5252.296485,5835.884983,-872.2243559,-1744.448712
19,5431.466456,9776.639621,15208.10608,19553.27924,21725.86583,-272.63819,2678.673392,4166.825277,5357.346785,5952.607539,-908.7939667,-1817.587933
20,5362.901501,9653.222701,15016.1242,19306.4454,21451.606,-277.8786088,2702.247233,4203.495696,5404.494466,6004.993852,-926.2620292,-1852.524058
21,5231.149522,9416.069139,14647.21866,18832.13828,20924.59809,-287.8861693,2744.633327,4269.429619,5489.266653,6099.18517,-959.6205642,-1919.241128
22,5104.097308,9187.375155,14291.47246,18374.75031,20416.38923,-297.2848042,2781.424418,4326.660206,5562.848836,6180.943151,-990.9493472,-1981.898694
23,5043.215738,9077.788328,14121.00407,18155.57666,20172.86295,-301.7639863,2797.983828,4352.419288,5595.967656,6217.74184,-1005.879954,-2011.759909
24,4922.719148,8860.894467,13783.61362,17721.78893,19690.87659,-310.2983181,2827.908351,4398.968546,5655.816702,6284.24078,-1034.327727,-2068.655454
25,4806.221617,8651.198911,13457.42053,17302.39782,19224.88647,-318.2886757,2854.153055,4439.793641,5708.30611,6342.562345,-1060.962252,-2121.924505
26,4748.333953,8547.001115,13295.33507,17094.00223,18993.33581,-322.0878107,2866.094949,4458.369921,5732.189898,6369.099887,-1073.626036,-2147.252071
27,4637.307867,8347.154161,12984.46203,16694.30832,18549.23147,-329.3097,2887.977462,4492.409385,5775.954924,6417.727693,-1097.699,-2195.398
28,4529.62891,8153.332038,12682.96095,16306.66408,18118.51564,-336.0504437,2907.621778,4522.96721,5815.243555,6461.381728,-1120.168146,-2240.336291
29,4425.048228,7965.08681,12390.13504,15930.17362,17700.19291,-342.3345786,2925.488453,4550.759816,5850.976906,6501.085451,-1141.115262,-2282.230524
30,4374.99632,7874.993376,12249.9897,15749.98675,17499.98528,-345.3129926,2933.882676,4563.817497,5867.765353,6519.739281,-1151.043309,-2302.086618
31,4274.641275,7694.354296,11968.99557,15388.70859,17098.5651,-350.9574779,2949.817169,4588.604485,5899.634338,6555.149265,-1169.85826,-2339.716519
32,4176.79926,7518.238669,11695.03793,15036.47734,16707.19704,-356.2052105,2964.873861,4612.026006,5929.747722,6588.60858,-1187.350702,-2374.701403
33,4127.530197,7429.554355,11557.08455,14859.10871,16510.12079,-358.687604,2972.159307,4623.358922,5944.318614,6604.79846,-1195.625347,-2391.250693
34,4033.020023,7259.436041,11292.45606,14518.87208,16132.08009,-363.3838787,2986.391784,4645.498331,5972.783569,6636.426188,-1211.279596,-2422.559192
35,3943.030372,7097.45467,11040.48504,14194.90934,15772.12149,-367.7411337,3000.33851,4667.193237,6000.677019,6667.41891,-1225.803779,-2451.607558
36,3896.21033,7013.178595,10909.38893,14026.35719,15584.84132,-369.7996729,3007.257484,4677.956087,6014.514968,6682.794409,-1232.665576,-2465.331153
37,3806.325533,6851.38596,10657.71149,13702.77192,15225.30213,-373.6904772,3021.072113,4699.445509,6042.144226,6713.493585,-1245.634924,-2491.269848
38,3717.953234,6692.315821,10410.26905,13384.63164,14871.81294,-377.2978716,3034.945098,4721.025707,6069.890195,6744.322439,-1257.659572,-2515.319144
39,3675.647205,6616.164969,10291.81217,13232.32994,14702.58882,-379.0020688,3041.929776,4731.890763,6083.859552,6759.843947,-1263.340229,-2526.680459
40,3589.271263,6460.688273,10049.95954,12921.37655,14357.08505,-382.224835,3056.03264,4753.82855,6112.065279,6791.183643,-1274.082783,-2548.165567
41,3504.003435,6307.206183,9811.209618,12614.41237,14016.01374,-385.2176781,3070.344451,4776.091368,6140.688902,6822.987669,-1284.058927,-2568.117854
42,3419.698302,6155.456943,9575.155244,12310.91389,13678.79321,-388.0013983,3084.882421,4798.705989,6169.764843,6855.29427,-1293.337994,-2586.675989
43,3379.364861,6082.85675,9462.221612,12165.7135,13517.45945,-389.3212445,3092.236004,4810.144895,6184.472008,6871.635564,-1297.737482,-2595.474964
44,3296.314315,5933.365767,9229.680082,11866.73153,13185.25726,-391.8295378,3107.102123,4833.269969,6214.204246,6904.671384,-1306.098459,-2612.196919
45,3213.914392,5785.045906,8998.960298,11570.09181,12855.65757,-394.1792227,3122.155179,4856.685835,6244.310359,6938.122621,-1313.930742,-2627.861485
46,3174.532034,5714.157661,8888.689695,11428.31532,12698.12814,-395.3007288,3129.739262,4868.483296,6259.478523,6954.976137,-1317.669096,-2635.338192
47,3092.979608,5567.363294,8660.342902,11134.72659,12371.91843,-397.449166,3144.991094,4892.208369,6289.982189,6988.869099,-1324.830553,-2649.661107
48,3011.832938,5421.299289,8433.132227,10842.59858,12047.33175,-399.4873862,3160.305619,4916.030963,6320.611238,7022.901376,-1331.624621,-2663.249241
49,2973.120931,5351.617677,8324.738608,10703.23535,11892.48373,-400.4710413,3167.966243,4927.94749,6335.932487,7039.924985,-1334.903471,-2669.806942
