BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMF13HS_TC-2B.xlsx,,,,,,,
#,R: ,2.976,,W: ,Force,,E: ,2,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,1.535663137,2.764193647,4.299856784,5.528387293,6.142652548,-0.033007418,0.525111996,0.816840883,1.050223993,1.166915548,-0.110024726,-0.220049452
#,0.419529975,0.755153955,1.174683929,1.510307909,1.678119899,-0.070271458,0.507099695,0.788821748,1.01419939,1.126888211,-0.234238193,-0.468476386
#,0.25,0.45,0.7,0.9,1,0.3,0.45,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,16209.77756,29177.5996,45387.37716,58355.19921,64839.11023,0,0,0,0,0,0,0
1,15429.39109,27772.90396,43202.29505,55545.80792,61717.56436,-7.840066678,179.1969893,278.7508723,358.3939787,398.2155318,-26.13355559,-52.26711118
2,15000.13308,27000.23954,42000.37261,54000.47907,60000.5323,-23.20109994,510.5740982,794.226375,1021.148196,1134.609107,-77.33699981,-154.6739996
3,14553.12484,26195.62472,40748.74956,52391.24944,58212.49938,-38.05643761,807.3773416,1255.920309,1614.754683,1794.17187,-126.854792,-253.7095841
4,14118.14303,25412.65746,39530.80049,50825.31492,56472.57214,-52.41469249,1073.362231,1669.674582,2146.724463,2385.249403,-174.7156416,-349.4312833
5,13698.11136,24656.60044,38354.7118,49313.20088,54792.44542,-66.28461229,1312.000906,2040.890298,2624.001812,2915.557569,-220.9487076,-441.8974153
6,13273.41322,23892.14379,37165.557,47784.28757,53093.65286,-79.67507962,1526.494947,2374.547696,3052.989894,3392.210994,-265.5835987,-531.1671975
7,12884.81879,23192.67383,36077.49262,46385.34766,51539.27518,-92.59511201,1719.787928,2675.225667,3439.575857,3821.750952,-308.6503734,-617.3007467
8,12511.2498,22520.24963,35031.49943,45040.49927,50044.99919,-105.0538619,1894.577698,2947.120863,3789.155395,4210.172662,-350.1795396,-700.3590792
9,12152.29521,21874.13138,34026.4266,43748.26277,48609.18086,-117.0606166,2053.32839,3194.066385,4106.65678,4562.951978,-390.2020552,-780.4041104
10,11807.49849,21253.49729,33060.99578,42506.99457,47229.99397,-128.6247983,2198.282176,3419.550051,4396.564351,4885.071501,-428.7493276,-857.4986553
11,11476.37686,20657.47835,32133.8552,41314.95669,45905.50744,-139.7559642,2331.470738,3626.732258,4662.941475,5181.046083,-465.853214,-931.706428
12,11143.46405,20058.23528,31201.69933,40116.47057,44573.85619,-150.4638064,2454.726484,3818.46342,4909.452969,5454.947743,-501.5460212,-1003.092042
13,10839.02422,19510.2436,30349.26782,39020.48719,43356.09688,-160.7581517,2569.693494,3997.30099,5139.386988,5710.429986,-535.8605056,-1071.721011
14,10698.18803,19256.73845,29954.92648,38513.4769,42792.75211,-165.7533709,2624.533633,4082.607873,5249.067265,5832.296961,-552.5112362,-1105.022472
15,10411.35141,18740.43254,29151.78394,37480.86507,41645.40564,-175.4461916,2729.764417,4246.300203,5459.528833,6066.143148,-584.8206387,-1169.641277
16,10124.01081,18223.21945,28347.23026,36446.4389,40496.04323,-184.7506731,2830.062117,4402.318849,5660.124234,6289.026926,-615.8355771,-1231.671154
17,9860.143363,17748.25805,27608.40142,35496.51611,39440.57345,-193.6771146,2926.493976,4552.323963,5852.987953,6503.319947,-645.5903819,-1291.180764
18,9606.563561,17291.81441,26898.37797,34583.62882,38426.25424,-202.2359499,3019.984845,4697.754203,6039.969689,6711.077433,-674.119833,-1348.239666
19,9362.750194,16852.95035,26215.70054,33705.9007,37451.00078,-210.4377481,3111.326652,4839.841459,6222.653304,6914.059227,-701.4591603,-1402.918321
20,9128.186744,16430.73614,25558.92288,32861.47228,36512.74698,-218.293213,3201.187614,4979.625178,6402.375229,7113.750254,-727.6440432,-1455.288086
21,8902.362461,16024.25243,24926.61489,32048.50486,35609.44984,-225.8131833,3290.12117,5117.966265,6580.242341,7311.380379,-752.7106109,-1505.421222
22,8684.773323,15632.59198,24317.3653,31265.18396,34739.09329,-233.0086326,3378.574653,5255.560571,6757.149306,7507.943673,-776.6954421,-1553.390884
23,8474.922915,15254.86125,23729.78416,30509.72249,33899.69166,-239.8906696,3466.897692,5392.951965,6933.795383,7704.217093,-799.6355654,-1599.271131
24,8272.323213,14890.18178,23162.505,29780.36357,33089.29285,-246.4705377,3555.350348,5530.544985,7110.700696,7900.778551,-821.568459,-1643.136918
25,8076.495316,14537.69157,22614.18688,29075.38314,32305.98126,-252.7596152,3644.110983,5668.617084,7288.221965,8098.024406,-842.5320506,-1685.064101
26,7886.970109,14196.5462,22083.51631,28393.09239,31547.88044,-258.7694154,3733.283858,5807.330445,7466.567716,8296.186351,-862.564718,-1725.129436
27,7703.288896,13865.92001,21569.20891,27731.84002,30813.15558,-264.5115865,3822.906468,5946.743394,7645.812935,8495.347706,-881.7052883,-1763.410577
28,7610.41739,13698.7513,21309.16869,27397.5026,30441.66956,-267.285988,3867.881628,6016.704755,7735.763256,8595.292507,-890.9532935,-1781.906587
29,7434.678889,13382.422,20817.10089,26764.844,29738.71556,-272.6488509,3958.120411,6157.076196,7916.240823,8795.823137,-908.8295029,-1817.659006
30,7263.643502,13074.5583,20338.20181,26149.11661,29054.57401,-277.7737952,4048.656269,6297.909752,8097.312539,8997.013932,-925.9126507,-1851.825301
31,7096.891838,12774.40531,19871.29715,25548.81062,28387.56735,-282.6729414,4139.346896,6438.984061,8278.693793,9198.548659,-942.243138,-1884.486276
